GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	153	37.64
Gene00004	0	0
Gene00005	853.23	161.09
Gene00006	14	2.74
Gene00007	0	0
Gene00008	0	0
Gene00009	17	4.33
Gene00010	6	6.58
Gene00011	13.63	2.81
Gene00012	25.58	1.78
Gene00013	17	5.95
Gene00014	0	0
Gene00015	137.8	4.82
Gene00016	0	0
Gene00017	2	0.27
Gene00018	23	4.27
Gene00019	45	24.37
Gene00020	0	0
Gene00021	0	0
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	7	2.8
Gene00026	0	0
Gene00027	0	0
Gene00028	160	30.29
Gene00029	64	8.7
Gene00030	6	2.22
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	225	39.94
Gene00035	0	0
Gene00036	568	16.01
Gene00037	4	2.67
Gene00038	84	12.54
Gene00039	10	0.47
Gene00040	227	20.52
Gene00041	7	5.14
Gene00042	0	0
Gene00043	218	17.87
Gene00044	209	24.69
Gene00045	33	6.81
Gene00046	0	0
Gene00047	0	0
Gene00048	471	35.44
Gene00049	40	10.64
Gene00050	79	5.03
Gene00051	0	0
Gene00052	32	7.32
Gene00053	45	5.4
Gene00054	0	0
Gene00055	137	39.69
Gene00056	3	3.95
Gene00057	0	0
Gene00058	80	6.63
Gene00059	38	8.19
Gene00060	0	0
Gene00061	0	0
Gene00062	43	22.18
Gene00063	23	3.26
Gene00064	2.49	0.26
Gene00065	0	0
Gene00066	23	1.35
Gene00067	2	0.92
Gene00068	489	20.88
Gene00069	41	27.82
Gene00070	1	0.07
Gene00071	30.67	4.45
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	1	0.15
Gene00077	2	0.37
Gene00078	3271	390.9
Gene00079	1	0.04
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	418	16.64
Gene00084	94	11.83
Gene00085	0	0
Gene00086	31	1.76
Gene00087	9	0.28
Gene00088	187	8.53
Gene00089	88	12.46
Gene00090	570	26.26
Gene00091	213	4.99
Gene00092	182	5.09
Gene00093	103	12.69
Gene00094	76	3.38
Gene00095	243	22.39
Gene00096	158	10.73
Gene00097	98	4.86
Gene00098	3557.17	324.05
Gene00099	8850.83	806.29
Gene00100	0	0
